Team_Name,Rank,R,HR,OBP,SLG,NSB,RA,HRA,SO,WHIP,SV,R_pts,HR_pts,OBP_pts,SLG_pts,NSB_pts,RA_pts,HRA_pts,SO_pts,WHIP_pts,SV_pts,Total_pts
McKnight Auto Braves,1,17,5,0.352,0.464,3,8,4,43,1.107,3,7,4,10,10,11,12,8,12,12,13,99
The Knockers,1,20,6,0.385,0.508,0,13,3,45,1.118,2,10,9,13,11,2,10,10,13,11,10,99
A Red Sock,3,21,8,0.331,0.460,2,12,4,42,1.239,2,12,13,6,8,9,11,8,11,9,10,97
What's that Snell?,4,20,10,0.362,0.638,2,23,7,46,1.097,0,10,14,11,14,9,2,2,14,14,1,91
Tyrants,5,22,5,0.394,0.548,0,6,2,18,1.209,0,13,4,14,13,2,14,12,1,10,1,84
B.Ruth is Dominican,6,22,7,0.338,0.460,0,18,5,38,1.563,3,13,12,7,8,2,7,6,9,3,13,80
Yates of Ketel,7,11,2,0.340,0.450,5,8,1,27,1.098,1,1,1,9,7,13,12,14,2,13,6,78
ReganSmash,8,18,6,0.384,0.542,1,20,5,31,1.423,0,9,9,12,12,8,5,6,5,6,1,73
TBH,9,15,5,0.338,0.419,3,16,3,29,1.488,2,5,4,8,4,11,9,10,4,4,10,69
JD Power and Assoc.,10,17,5,0.292,0.376,0,17,2,35,1.324,1,7,4,3,3,2,8,12,7,8,6,60
Againbetterlookinbro,11,14,5,0.294,0.444,5,22,7,36,1.595,1,4,4,4,6,13,3,2,8,2,6,52
DC,12,16,6,0.314,0.433,0,22,6,28,1.883,0,6,9,5,5,2,3,5,3,1,1,40
WillieWillieBummer,13,11,2,0.248,0.277,0,24,9,38,1.379,1,1,1,1,2,2,1,1,9,7,6,31
MF,14,13,2,0.260,0.265,-2,20,7,31,1.464,0,3,1,2,1,1,5,2,5,5,1,26
